0¦OTHER¦1581416573935¦1581416573935¦1581416574816¦1581416573935¦1581416573935¦1581416573935¦t¦Vlad10,Adam;¦ ⁰t¦t¦
0¦SELF¦1581416573940¦1581416573940¦1581416574822¦1581416573940¦1581416573940¦1581416573940¦i¦Vlad10,Adam;¦ ⁰i¦i¦
0¦OTHER¦1581416574030¦1581416574030¦1581416574911¦1581416574030¦1581416574030¦1581416574030¦ ¦Vlad10,Adam;¦ ⁰ ¦ ¦
0¦SELF¦1581416574051¦1581416574234¦1581416575115¦1581416574051¦1581416574234¦1581416574234¦ght¦Vlad10,Adam;¦ ⁰g ¹⁰¹h ⁸²t¦ght¦
0¦OTHER¦1581416574357¦1581416579192¦1581416580074¦1581416574357¦1581416579192¦1581416579192¦music is nicei dont like t¦Vlad10,Adam;¦ ⁰m ²⁹⁵u ⁶⁰s ⁹²i ¹⁵⁴c ⁸⁰  ²²⁵i ⁷⁹s ¹¹⁷  ⁶⁰⁰n ²⁴⁷i ⁵³c ²³⁷e ¹⁰⁶²i ¹⁶⁷  ¹¹⁶d ⁷⁸o ²¹³n ⁹⁵t ⁵⁶  ¹⁴⁹l ²¹⁶i ²⁰⁹k ³¹e ⁸⁷  ¹¹⁷t¦music is nice▅i dont like t¦
0¦SELF¦1581416579265¦1581416579265¦1581416580146¦1581416579265¦1581416579265¦1581416579265¦s¦Vlad10,Adam;¦ ⁰s¦s¦
0¦OTHER¦1581416579287¦1581416579287¦1581416580168¦1581416579287¦1581416579287¦1581416579287¦h¦Vlad10,Adam;¦ ⁰h¦h¦
0¦SELF¦1581416579365¦1581416579365¦1581416580246¦1581416579365¦1581416579365¦1581416579365¦h¦Vlad10,Adam;¦ ⁰h¦h¦
0¦OTHER¦1581416579404¦1581416579404¦1581416580327¦1581416579404¦1581416579404¦1581416579404¦e¦Vlad10,Adam;¦ ⁰e¦e¦
0¦SELF¦1581416579453¦1581416579514¦1581416580394¦1581416579453¦1581416579514¦1581416579514¦e ¦Vlad10,Adam;¦ ⁰e ⁶¹ ¦e ¦
