0¦SELF¦1581416572934¦1581416574666¦1581416574669¦1581416572934¦1581416574666¦1581416574666¦yeah, bu¦Vlad11,Nikolai;¦ ⁰y ⁸²e ⁷³a ¹⁴⁹h ⁷⁰¹, ²⁶³  ²⁶⁵b ¹⁹⁹u¦yeah, bu¦
0¦OTHER¦1581416574790¦1581416574790¦1581416574795¦1581416574790¦1581416574790¦1581416574790¦r¦Vlad11,Nikolai;¦ ⁰r¦r¦
0¦SELF¦1581416574805¦1581416574805¦1581416574808¦1581416574805¦1581416574805¦1581416574805¦t¦Vlad11,Nikolai;¦ ⁰t¦t¦
0¦OTHER¦1581416574828¦1581416574828¦1581416574831¦1581416574828¦1581416574828¦1581416574828¦i¦Vlad11,Nikolai;¦ ⁰i¦i¦
0¦SELF¦1581416574898¦1581416574898¦1581416574903¦1581416574898¦1581416574898¦1581416574898¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦OTHER¦1581416574936¦1581416575120¦1581416575123¦1581416574936¦1581416575120¦1581416575120¦ght¦Vlad11,Nikolai;¦ ⁰g ¹⁰³h ⁸¹t¦ght¦
0¦SELF¦1581416575224¦1581416580063¦1581416580066¦1581416575224¦1581416580063¦1581416580063¦music is nicei dont like t¦Vlad11,Nikolai;¦ ⁰m ²¹⁹u ¹³⁸s ⁹³i ¹⁴⁷c ⁸⁸  ¹⁷²i ¹³²s ¹¹⁷  ⁵⁹⁹n ¹⁷⁶i ¹²⁵c ²¹⁹e ¹⁰⁷⁹i ¹³⁸  ¹⁴⁰d ⁸⁴o ²⁰⁶n ¹⁰²t ⁵⁶  ¹⁴⁶l ¹⁷⁴i ¹⁶⁹k ¹¹⁷e ⁸⁵  ¹¹⁸t¦music is nice▅i dont like t¦
0¦OTHER¦1581416580151¦1581416580151¦1581416580154¦1581416580151¦1581416580151¦1581416580151¦s¦Vlad11,Nikolai;¦ ⁰s¦s¦
0¦SELF¦1581416580159¦1581416580159¦1581416580161¦1581416580159¦1581416580159¦1581416580159¦h¦Vlad11,Nikolai;¦ ⁰h¦h¦
0¦OTHER¦1581416580250¦1581416580250¦1581416580253¦1581416580250¦1581416580250¦1581416580250¦h¦Vlad11,Nikolai;¦ ⁰h¦h¦
0¦SELF¦1581416580276¦1581416580276¦1581416580279¦1581416580276¦1581416580276¦1581416580276¦e¦Vlad11,Nikolai;¦ ⁰e¦e¦
0¦OTHER¦1581416580339¦1581416580339¦1581416580342¦1581416580339¦1581416580339¦1581416580339¦e¦Vlad11,Nikolai;¦ ⁰e¦e¦
0¦SELF¦1581416580388¦1581416580388¦1581416580391¦1581416580388¦1581416580388¦1581416580388¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦OTHER¦1581416580398¦1581416580398¦1581416580443¦1581416580398¦1581416580398¦1581416580398¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦SELF¦1581416580495¦1581416580495¦1581416580498¦1581416580495¦1581416580495¦1581416580495¦d¦Vlad11,Nikolai;¦ ⁰d¦d¦
0¦OTHER¦1581416580531¦1581416580592¦1581416580595¦1581416580531¦1581416580592¦1581416580592¦is¦Vlad11,Nikolai;¦ ⁰i ⁶¹s¦is¦
0¦SELF¦1581416580614¦1581416580614¦1581416580617¦1581416580614¦1581416580614¦1581416580614¦o¦Vlad11,Nikolai;¦ ⁰o¦o¦
0¦OTHER¦1581416580692¦1581416580692¦1581416580695¦1581416580692¦1581416580692¦1581416580692¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦SELF¦1581416580735¦1581416580735¦1581416580738¦1581416580735¦1581416580735¦1581416580735¦c¦Vlad11,Nikolai;¦ ⁰c¦c¦
0¦OTHER¦1581416580832¦1581416580874¦1581416580877¦1581416580832¦1581416580874¦1581416580874¦no¦Vlad11,Nikolai;¦ ⁰n ⁴²o¦no¦
0¦SELF¦1581416580964¦1581416580964¦1581416580967¦1581416580964¦1581416580964¦1581416580964¦t¦Vlad11,Nikolai;¦ ⁰t¦t¦
0¦OTHER¦1581416580989¦1581416581064¦1581416581067¦1581416580989¦1581416581064¦1581416581064¦t ¦Vlad11,Nikolai;¦ ⁰t ⁷⁵ ¦t ¦
0¦SELF¦1581416581091¦1581416581091¦1581416581094¦1581416581091¦1581416581091¦1581416581091¦o¦Vlad11,Nikolai;¦ ⁰o¦o¦
0¦OTHER¦1581416581149¦1581416581149¦1581416581152¦1581416581149¦1581416581149¦1581416581149¦t¦Vlad11,Nikolai;¦ ⁰t¦t¦
0¦SELF¦1581416581187¦1581416581187¦1581416581190¦1581416581187¦1581416581187¦1581416581187¦r¦Vlad11,Nikolai;¦ ⁰r¦r¦
0¦OTHER¦1581416581220¦1581416586034¦1581416586037¦1581416581220¦1581416586034¦1581416586034¦he only onethe doctor?¦Vlad11,Nikolai;¦ ⁰h ⁸⁶e ⁶⁴  ¹⁵³o ³⁰n ¹⁵⁶l ⁹⁷y ¹⁴⁷  ⁷⁷o ⁵⁰n ¹³⁵e ²⁸⁷⁰t ⁶⁷h ⁸⁵e ¹⁰³  ⁶⁹d ⁹¹o ⁶⁰c ¹⁴⁵t ⁵⁸o ¹⁰²r ¹⁶⁹?¦he only one▅▅the doctor?¦
0¦SELF¦1581416587252¦1581416598328¦1581416598331¦1581416587252¦1581416598328¦1581416598328¦yeah, last onethe reasearch methadology might suck, so he kills lot¦Vlad11,Nikolai;¦ ⁰y ⁶¹e ⁶⁸a ¹⁵⁹h ⁴⁵¹, ¹³³  ¹⁵⁹l ¹¹⁰a ⁴⁷s ¹³²t ¹²¹  ¹⁴⁹o ²¹⁹n ¹²⁸e ⁸⁹¹t ¹¹⁷h ¹²³e ⁹⁶  ²⁰³r ⁴⁵e ⁸⁰a ¹⁴⁹s ¹⁷⁸e ⁹²a ¹⁶⁰r ¹¹⁹c ¹⁴⁶h ¹⁴⁹  ¹⁵⁸m ⁸⁴e ¹⁸⁶t ¹⁰⁰h ¹¹³a ¹⁷⁵d ¹⁰⁵o ¹⁸⁹l ¹⁷⁸o ¹⁷⁰g ¹²¹y ¹⁸⁴  ²⁵³m ⁵⁰⁴i ¹⁹⁹g ¹⁰⁷h ¹⁰⁹t ⁹³  ¹³⁸s ¹¹⁰u ⁴⁶²c ¹²¹k ²⁷¹, ¹⁶⁰  ²⁰⁴s ⁹⁷o ¹⁴⁰  ³⁷⁵h ¹²⁸e ⁶⁵  ¹⁸⁷k ¹⁷¹i ¹⁸⁷l ¹²⁴l ¹¹²s ⁶⁸  ¹⁵⁴l ¹⁷⁸o ¹¹¹t¦yeah, last onethe reasearch methadology might suck, so he kills lot¦
0¦OTHER¦1581416598509¦1581416598509¦1581416598515¦1581416598509¦1581416598509¦1581416598509¦h¦Vlad11,Nikolai;¦ ⁰h¦h¦
0¦SELF¦1581416598542¦1581416599658¦1581416599664¦1581416598542¦1581416599658¦1581416599658¦s of peo¦Vlad11,Nikolai;¦ ⁰s ⁸⁹  ¹⁴⁰o ⁹⁴f ¹⁰⁵  ¹⁶¹p ¹²⁴e ⁴⁰³o¦s of peo¦
0¦OTHER¦1581416599688¦1581416599688¦1581416599692¦1581416599688¦1581416599688¦1581416599688¦e¦Vlad11,Nikolai;¦ ⁰e¦e¦
0¦SELF¦1581416599828¦1581416599828¦1581416599832¦1581416599828¦1581416599828¦1581416599828¦p¦Vlad11,Nikolai;¦ ⁰p¦p¦
0¦OTHER¦1581416599837¦1581416599837¦1581416599881¦1581416599837¦1581416599837¦1581416599837¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦SELF¦1581416600000¦1581416600000¦1581416600003¦1581416600000¦1581416600000¦1581416600000¦l¦Vlad11,Nikolai;¦ ⁰l¦l¦
0¦OTHER¦1581416600021¦1581416600021¦1581416600024¦1581416600021¦1581416600021¦1581416600021¦i¦Vlad11,Nikolai;¦ ⁰i¦i¦
0¦SELF¦1581416600102¦1581416600102¦1581416600105¦1581416600102¦1581416600102¦1581416600102¦e¦Vlad11,Nikolai;¦ ⁰e¦e¦
0¦OTHER¦1581416600138¦1581416600138¦1581416600142¦1581416600138¦1581416600138¦1581416600138¦s¦Vlad11,Nikolai;¦ ⁰s¦s¦
0¦SELF¦1581416600171¦1581416600308¦1581416600311¦1581416600171¦1581416600308¦1581416600308¦ i¦Vlad11,Nikolai;¦ ⁰  ¹³⁷i¦ i¦
0¦OTHER¦1581416600365¦1581416600365¦1581416600368¦1581416600365¦1581416600365¦1581416600365¦ ¦Vlad11,Nikolai;¦ ⁰ ¦ ¦
0¦SELF¦1581416600473¦1581416600589¦1581416600592¦1581416600473¦1581416600589¦1581416600589¦ns¦Vlad11,Nikolai;¦ ⁰n ¹¹⁶s¦ns¦
0¦OTHER¦1581416600686¦1581416600686¦1581416600689¦1581416600686¦1581416600686¦1581416600686¦a¦Vlad11,Nikolai;¦ ⁰a¦a¦
